--------- beginning of crash
04-21 09:05:58.823   645   645 F libc    : crash_dump helper failed to exec
04-21 17:48:56.854  1635  5730 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:56.972  1635  5731 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.089  1635  5732 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.205  1635  5733 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.307  1635  5734 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.402  1635  5735 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.490  1635  5736 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.572  1635  5737 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.669  1635  5738 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.741  1635  5739 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.829  1635  5740 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.910  1635  5741 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:57.979  1635  5742 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.055  1635  5743 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.140  1635  5744 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.215  1635  5745 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.295  1635  5746 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.398  1635  5747 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.503  1635  5748 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.596  1635  5749 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.707  1635  5750 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.792  1635  5751 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.893  1635  5752 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:58.976  1635  5753 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:59.069  1635  5754 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:59.181  1635  5755 I chatty  : uid=1000 system_server expire 11 lines
04-21 17:48:59.319  1635  5756 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:59.334  1635  4623 I chatty  : uid=1000(system) Binder:1635_11 expire 16 lines
04-21 17:48:59.434  1635  5757 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:59.521  1635  5758 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:59.626  1635  5759 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:59.735  1635  5760 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:59.844  1635  5761 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:48:59.948  1635  5762 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.035  1635  5763 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.116  1635  5764 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.220  1635  5765 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.303  1635  5766 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.388  1635  5767 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.480  1635  5768 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.584  1635  5769 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.678  1635  5770 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.797  1635  5771 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:00.895  1635  5772 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.001  1635  5773 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.094  1635  5774 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.196  1635  5775 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.297  1635  5776 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.404  1635  5777 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.493  1635  5778 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.616  1635  5780 I chatty  : uid=1000 system_server expire 10 lines
